method,seed,rho,rho_ci_lower,rho_ci_upper,adj_dist,distant_dist,diff,diff_ci_lower,diff_ci_upper,cross_dist,bin_stats
A0,42,0.16461876141189105,0.13691861582405057,0.20633495802764018,1.7974565,4.050076,2.2526195,1.7398005574941635,2.757031315565109,9.497779,"     bin      mean    median       std   count method  seed
0      1  1.797456  1.340361  1.612821    1137     A0    42
1  11-20  2.726234  1.988289  2.395571   11390     A0    42
2      2  2.094848  1.370333  2.303992    1087     A0    42
3    3-5  2.203546  1.531329  2.186887    3513     A0    42
4   6-10  2.380701  1.675104  2.280547    5805     A0    42
5    >20  4.050076  3.053425  3.223939  477068     A0    42"
A1,42,0.12110986199013524,0.06597230320553935,0.19087609485833737,1.0742679,2.546488,1.4722202,1.1407931625843049,1.796261516213417,6.084138,"     bin      mean    median       std   count method  seed
0      1  1.074268  0.721260  1.117771    1137     A1    42
1  11-20  1.764360  1.300522  1.628412   11390     A1    42
2      2  1.274737  0.804893  1.406914    1087     A1    42
3    3-5  1.351662  0.906092  1.436359    3513     A1    42
4   6-10  1.478154  1.031028  1.453324    5805     A1    42
5    >20  2.546488  2.059623  1.943227  477068     A1    42"
A1,123,0.12346152542853572,0.06577447557452533,0.20063074557973137,1.439295,3.54967,2.110375,1.4943276733160018,2.7384701907634734,6.3396544,"     bin      mean    median       std   count method  seed
0      1  1.439295  1.020589  1.403378    1137     A1   123
1  11-20  2.354847  1.658931  2.271374   11390     A1   123
2      2  1.725555  1.065148  2.006211    1087     A1   123
3    3-5  1.827291  1.197758  1.937650    3513     A1   123
4   6-10  1.986672  1.369421  2.017828    5805     A1   123
5    >20  3.549670  2.689065  3.035654  477068     A1   123"
A1,2025,0.10825042380652301,0.04221921019077044,0.18771090519089348,1.0877643,2.7470067,1.6592424,1.12567158639431,2.1668936371803285,7.0038247,"     bin      mean    median       std   count method  seed
0      1  1.087764  0.710156  1.169254    1137     A1  2025
1  11-20  1.829282  1.206342  1.938507   11390     A1  2025
2      2  1.321058  0.745063  1.672548    1087     A1  2025
3    3-5  1.390205  0.847372  1.612831    3513     A1  2025
4   6-10  1.533462  0.962874  1.720964    5805     A1  2025
5    >20  2.747007  1.971707  2.583524  477068     A1  2025"
A1,7,0.12389324371195848,0.07006189108466931,0.18510650227557154,1.3276554,3.326573,1.9989175,1.4320715755224227,2.5701807856559755,8.18545,"     bin      mean    median       std   count method  seed
0      1  1.327655  0.922389  1.331899    1137     A1     7
1  11-20  2.238198  1.612275  2.107748   11390     A1     7
2      2  1.569155  1.022195  1.681240    1087     A1     7
3    3-5  1.697280  1.135895  1.735950    3513     A1     7
4   6-10  1.852266  1.269969  1.827430    5805     A1     7
5    >20  3.326573  2.619274  2.737839  477068     A1     7"
A1,13,0.12477359015483029,0.0795396544141853,0.18742790711032128,1.175539,2.8914464,1.7159073,1.202324879169464,2.766379874944682,11.073714,"     bin      mean    median       std   count method  seed
0      1  1.175539  0.804923  1.205729    1137     A1    13
1  11-20  1.854898  1.225589  1.939186   11390     A1    13
2      2  1.393832  0.841592  1.625077    1087     A1    13
3    3-5  1.458285  0.929834  1.637714    3513     A1    13
4   6-10  1.612418  1.021386  1.780005    5805     A1    13
5    >20  2.891446  1.907994  3.125787  477068     A1    13"
A3,42,0.18932081504512377,0.15786049287879594,0.2339243473654666,0.71591383,1.3223279,0.606414,0.44257117807865143,0.816764135658741,2.7803304,"     bin      mean    median       std   count method  seed
0      1  0.715914  0.575539  0.620826    1137     A3    42
1  11-20  0.952438  0.736357  0.766401   11390     A3    42
2      2  0.782560  0.605079  0.707884    1087     A3    42
3    3-5  0.816752  0.634142  0.678749    3513     A3    42
4   6-10  0.871553  0.684584  0.704984    5805     A3    42
5    >20  1.322328  0.985309  1.045493  477068     A3    42"
SoftCLT,42,0.12598599288885345,0.07437666333808275,0.17609192933426943,2.7768242,6.540537,3.7637126,3.032351553440094,4.342530274391174,22.14201,"     bin      mean    median       std   count   method  seed
0      1  2.776824  1.456941  3.803594    1137  SoftCLT    42
1  11-20  4.466219  2.739397  5.085728   11390  SoftCLT    42
2      2  3.476822  1.693873  4.698726    1087  SoftCLT    42
3    3-5  3.634598  1.931811  4.722351    3513  SoftCLT    42
4   6-10  3.938040  2.179557  4.870088    5805  SoftCLT    42
5    >20  6.540536  4.661181  6.179624  477068  SoftCLT    42"
SoftCLT,123,0.12725956084296072,0.07338613419554388,0.18021467000248026,1.0583361,2.3660424,1.3077062,1.01289943754673,1.5976963847875594,17.7488,"     bin      mean    median       std   count   method  seed
0      1  1.058336  0.617261  1.319712    1137  SoftCLT   123
1  11-20  1.677831  1.003804  1.923129   11390  SoftCLT   123
2      2  1.337762  0.712888  1.727389    1087  SoftCLT   123
3    3-5  1.438380  0.769007  1.874135    3513  SoftCLT   123
4   6-10  1.487013  0.837902  1.757729    5805  SoftCLT   123
5    >20  2.366042  1.582376  2.297023  477068  SoftCLT   123"
SoftCLT,2025,0.13858043959619876,0.0411641670186237,0.21599241423504587,0.4609318,1.0785853,0.6176535,0.4642681822180748,0.7373797625303268,4.052419,"     bin      mean    median       std   count   method  seed
0      1  0.460932  0.298160  0.561350    1137  SoftCLT  2025
1  11-20  0.710965  0.482504  0.714628   11390  SoftCLT  2025
2      2  0.513601  0.311050  0.582502    1087  SoftCLT  2025
3    3-5  0.570952  0.347543  0.657713    3513  SoftCLT  2025
4   6-10  0.613338  0.387524  0.660382    5805  SoftCLT  2025
5    >20  1.078585  0.821103  0.920386  477068  SoftCLT  2025"
SoftCLT,7,0.1679596392229703,0.11505224145762392,0.2220264639194932,0.52672696,1.2375244,0.7107974,0.5725361108779907,0.8222652867436409,4.898158,"     bin      mean    median       std   count   method  seed
0      1  0.526727  0.365066  0.527949    1137  SoftCLT     7
1  11-20  0.817707  0.589549  0.752754   11390  SoftCLT     7
2      2  0.599360  0.384153  0.609103    1087  SoftCLT     7
3    3-5  0.639050  0.428400  0.618427    3513  SoftCLT     7
4   6-10  0.695132  0.489498  0.653449    5805  SoftCLT     7
5    >20  1.237524  0.940991  1.002012  477068  SoftCLT     7"
SoftCLT,13,0.15940337108779692,0.12790420301562888,0.20662318131236584,1.2859914,3.45258,2.1665885,1.552420836687088,2.701853740215301,18.8128,"     bin      mean    median       std   count   method  seed
0      1  1.285991  0.862697  1.318832    1137  SoftCLT    13
1  11-20  2.131873  1.449162  2.327065   11390  SoftCLT    13
2      2  1.461494  0.923644  1.818808    1087  SoftCLT    13
3    3-5  1.617633  1.043606  1.748068    3513  SoftCLT    13
4   6-10  1.760785  1.168595  1.852121    5805  SoftCLT    13
5    >20  3.452580  2.349577  3.501757  477068  SoftCLT    13"
