V2 Preprocessing → E:/SleepApneaProcessed_V2
Target: 20ch @ 100.0 Hz | Window: 30.0s
  SKIP sub-001 (EDF not found or too small)
  SKIP sub-002 (EDF not found or too small)
  SKIP sub-003 (EDF not found or too small)
  SKIP sub-004 (EDF not found or too small)
  SKIP sub-005 (EDF not found or too small)
  SKIP sub-006 (EDF not found or too small)
  SKIP sub-007 (EDF not found or too small)
  SKIP sub-008 (EDF not found or too small)
  SKIP sub-009 (EDF not found or too small)
  SKIP sub-010 (EDF not found or too small)
  SKIP sub-011 (EDF not found or too small)
  SKIP sub-012 (EDF not found or too small)
  SKIP sub-013 (EDF not found or too small)
  SKIP sub-014 (EDF not found or too small)
  SKIP sub-015 (EDF not found or too small)
  SKIP sub-016 (EDF not found or too small)
  SKIP sub-017 (EDF not found or too small)
  SKIP sub-018 (EDF not found or too small)
  SKIP sub-019 (EDF not found or too small)
  SKIP sub-020 (EDF not found or too small)
  SKIP sub-021 (EDF not found or too small)
  SKIP sub-022 (EDF not found or too small)
  SKIP sub-023 (EDF not found or too small)
  SKIP sub-024 (EDF not found or too small)
  SKIP sub-025 (EDF not found or too small)
  SKIP sub-026 (EDF not found or too small)
  SKIP sub-027 (EDF not found or too small)
  SKIP sub-028 (EDF not found or too small)
  SKIP sub-029 (EDF not found or too small)
  SKIP sub-030 (EDF not found or too small)
  SKIP sub-031 (EDF not found or too small)
  SKIP sub-032 (EDF not found or too small)
  SKIP sub-033 (EDF not found or too small)
  SKIP sub-034 (EDF not found or too small)
  SKIP sub-035 (EDF not found or too small)
  SKIP sub-036 (EDF not found or too small)
  SKIP sub-037 (EDF not found or too small)
  SKIP sub-038 (EDF not found or too small)
  SKIP sub-039 (EDF not found or too small)
  SKIP sub-040 (EDF not found or too small)
  SKIP sub-041 (EDF not found or too small)
  SKIP sub-042 (EDF not found or too small)
  SKIP sub-043 (EDF not found or too small)
  SKIP sub-044 (EDF not found or too small)
  SKIP sub-045 (EDF not found or too small)
  SKIP sub-046 (EDF not found or too small)
  SKIP sub-047 (EDF not found or too small)
  SKIP sub-048 (EDF not found or too small)
  SKIP sub-049 (EDF not found or too small)
  SKIP sub-050 (EDF not found or too small)
  SKIP sub-051 (EDF not found or too small)
  SKIP sub-052 (EDF not found or too small)
  SKIP sub-053 (EDF not found or too small)
  SKIP sub-054 (EDF not found or too small)
  SKIP sub-055 (EDF not found or too small)
  SKIP sub-056 (EDF not found or too small)
  SKIP sub-057 (EDF not found or too small)
  SKIP sub-058 (EDF not found or too small)
  SKIP sub-059 (EDF not found or too small)
  SKIP sub-060 (EDF not found or too small)
  SKIP sub-061 (EDF not found or too small)
  SKIP sub-062 (EDF not found or too small)
  SKIP sub-063 (EDF not found or too small)
  SKIP sub-064 (EDF not found or too small)
  SKIP sub-065 (EDF not found or too small)
  SKIP sub-066 (EDF not found or too small)
  SKIP sub-067 (EDF not found or too small)
  SKIP sub-068 (EDF not found or too small)
  SKIP sub-069 (EDF not found or too small)
  SKIP sub-070 (EDF not found or too small)
  SKIP sub-071 (EDF not found or too small)
  SKIP sub-072 (EDF not found or too small)
  SKIP sub-073 (EDF not found or too small)
  SKIP sub-074 (EDF not found or too small)
  SKIP sub-075 (EDF not found or too small)
  SKIP sub-076 (EDF not found or too small)
  SKIP sub-077 (EDF not found or too small)
  SKIP sub-078 (EDF not found or too small)
  SKIP sub-079 (EDF not found or too small)
  SKIP sub-080 (EDF not found or too small)
  SKIP sub-081 (EDF not found or too small)
  SKIP sub-082 (EDF not found or too small)
  SKIP sub-083 (EDF not found or too small)
  SKIP sub-084 (EDF not found or too small)
  SKIP sub-085 (EDF not found or too small)
  SKIP sub-086 (EDF not found or too small)
  SKIP sub-087 (EDF not found or too small)
  SKIP sub-088 (EDF not found or too small)
  SKIP sub-089 (EDF not found or too small)
  SKIP sub-090 (EDF not found or too small)
  SKIP sub-091 (EDF not found or too small)
  SKIP sub-092 (EDF not found or too small)
  SKIP sub-093 (EDF not found or too small)
  SKIP sub-094 (EDF not found or too small)
  SKIP sub-095 (EDF not found or too small)
  SKIP sub-096 (EDF not found or too small)
  SKIP sub-097 (EDF not found or too small)
  SKIP sub-098 (EDF not found or too small)
  SKIP sub-099 (EDF not found or too small)
  SKIP sub-100 (EDF not found or too small)
  SKIP sub-101 (EDF not found or too small)
  SKIP sub-102 (EDF not found or too small)
  SKIP sub-103 (EDF not found or too small)
  SKIP sub-104 (EDF not found or too small)
  SKIP sub-105 (EDF not found or too small)
  SKIP sub-106 (EDF not found or too small)
  SKIP sub-107 (EDF not found or too small)
  SKIP sub-108 (EDF not found or too small)
  SKIP sub-109 (EDF not found or too small)
  SKIP sub-110 (EDF not found or too small)
  SKIP sub-111 (EDF not found or too small)
  SKIP sub-112 (EDF not found or too small)
  SKIP sub-113 (EDF not found or too small)
  SKIP sub-114 (EDF not found or too small)
  SKIP sub-115 (EDF not found or too small)
  SKIP sub-116 (EDF not found or too small)
  SKIP sub-117 (EDF not found or too small)
  SKIP sub-118 (EDF not found or too small)
  SKIP sub-119 (EDF not found or too small)
  SKIP sub-120 (EDF not found or too small)
  SKIP sub-121 (EDF not found or too small)
  SKIP sub-122 (EDF not found or too small)
  SKIP sub-123 (EDF not found or too small)
  SKIP sub-124 (EDF not found or too small)
  SKIP sub-125 (EDF not found or too small)
  SKIP sub-126 (EDF not found or too small)
  SKIP sub-127 (EDF not found or too small)
  SKIP sub-128 (EDF not found or too small)
  SKIP sub-129 (EDF not found or too small)
  SKIP sub-130 (EDF not found or too small)
  SKIP sub-131 (EDF not found or too small)
  SKIP sub-132 (EDF not found or too small)
  SKIP sub-133 (EDF not found or too small)
  SKIP sub-134 (EDF not found or too small)
  SKIP sub-135 (EDF not found or too small)
  SKIP sub-136 (EDF not found or too small)
  SKIP sub-137 (EDF not found or too small)
  SKIP sub-138 (EDF not found or too small)
  SKIP sub-139 (EDF not found or too small)
  SKIP sub-140 (EDF not found or too small)
  SKIP sub-141 (EDF not found or too small)
  SKIP sub-142 (EDF not found or too small)

Done. Manifest: E:/SleepApneaProcessed_V2\preprocessing_manifest.csv

